N  train_score test_score train_f1_score test_f1_score
20000 0.4209 0.268 0.4322169597418355 0.25362198609073733
40000 0.51545 0.36085 0.535357497943246 0.3587274157348127
60000 0.52665 0.38505 0.5589943667946939 0.397821184230489
80000 0.5809 0.44275 0.5931016436760157 0.4434774263134008
100000 0.5723 0.4512 0.6001113230513914 0.4629099072777392
120000 0.58745 0.47145 0.5999597585279284 0.47190194765593585
140000 0.6106 0.4879 0.6304044005637228 0.49286641297233164
160000 0.6224 0.50905 0.6312884358530204 0.5029857630224562
180000 0.627 0.52425 0.6299071790935341 0.5167607043555037
189340 0.64796573875803 0.52795 0.6606459341612272 0.5298613722255817
