N  train_score test_score train_f1_score test_f1_score
40000 0.530975 0.440175 0.5574341133218009 0.4527043873668031
80000 0.567825 0.48405 0.5804307529049342 0.48318237343549897
120000 0.619425 0.5239 0.6432363108736548 0.5388138034593595
160000 0.641625 0.5573 0.6457653451056007 0.5528418128340318
200000 0.661675 0.575625 0.6741351033637918 0.5787103997271009
240000 0.666125 0.5831 0.6797282713876677 0.5882011687289256
280000 0.683125 0.60305 0.6992737283500983 0.6122862539330426
320000 0.692125 0.6153 0.7043965723658956 0.6201138066646328
360000 0.69605 0.620625 0.7094660798360563 0.6274570787208865
400000 0.680675 0.609875 0.6928397415323871 0.6162230656919524
412885 0.7236321303841676 0.62825 0.7364038423115703 0.633312191211683
